record_num,data_source,source_page,phylum,class,order,family,genus,species,habitat,source,life hist,geo_location,lat,long,acclim_type,acclim_period,trait_category,trait,details,temp_1,temp_2,r1.1,r1.1_se,r1.1_N,r1.1_CV,r1.1_logCV,r1.2,r1.2_se,r1.2_N,r1.2_CV,r1.2_logCV,r2.1,r2.1_se,r2.1_N,r2.1_CV,r2.1_logCV,r2.2,r2.2_se,r2.2_N,r2.2_CV,r2.2_logCV,units,notes
p007_o,NA,NA,Mollusca,Bivalvia,Myoida,Myidae,Mya,arenaria,m,w,a,Blue Hill Falls,44.398253,-68.555902,1,14,rest_MR,MR,rest,10,20,0.2,0.05,8,0.71,-0.35,0.4,0.04,8,0.28,-1.26,0.16,0.05,8,0.88,-0.12,0.35,0.04,8,0.32,-1.13,ml/g/h,high intertidal
p007_o,NA,NA,Mollusca,Bivalvia,Myoida,Myidae,Mya,arenaria,m,w,a,Blue Hill Falls,44.398253,-68.555902,1,14,rest_MR,MR,rest,10,20,0.12,0.03,8,0.71,-0.35,0.45,0.07,8,0.44,-0.82,0.11,0.03,8,0.79,-0.23,0.2,0.02,8,0.28,-1.26,ml/g/h,mid intertidal
p007_o,NA,NA,Mollusca,Bivalvia,Myoida,Myidae,Mya,arenaria,m,w,a,Blue Hill Falls,44.398253,-68.555902,1,14,rest_MR,MR,rest,10,20,0.35,0.04,8,0.32,-1.13,0.4,0.03,8,0.21,-1.55,0.11,0.05,8,1.31,0.27,0.25,0.03,8,0.34,-1.08,ml/g/h,low intertidal
p007_o,NA,NA,Mollusca,Bivalvia,Myoida,Myidae,Mya,arenaria,m,w,a,Blue Hill Falls,44.398253,-68.555902,1,14,rest_MR,MR,rest,10,20,0.4,0.06,8,0.42,-0.86,0.3,0.06,8,0.57,-0.57,0.2,0.05,8,0.71,-0.35,0.22,0.05,8,0.64,-0.44,ml/g/h,subtidal
p008_o,NA,NA,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Solea,senegalensis,m,w,j,"Cadiz, Spain",36.52061,-6.299451,1,21,ATPase,Na-K-ATPase,gill,12,26,2.8,0.3,10,0.34,-1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,10,0.24,-1.41,,
p008_o,NA,NA,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Solea,senegalensis,m,w,j,"Cadiz, Spain",36.52061,-6.299451,1,21,ATPase,Na-K-ATPase,kidney,12,26,2,0.2,10,0.32,-1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,0.2,10,0.1,-2.28,,
p009_o,NA,NA,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,ambigua,f,c,a,NA,NA,NA,1,7,rest_MR,MR,rest,10,20,7.4,NA,NA,NA,NA,12,NA,NA,NA,NA,3.5,NA,NA,NA,NA,8,NA,NA,NA,NA,ug/mg dry/hr,
p010_o,NA,NA,Arthropoda,Malacostraca,Decapoda,Cambaridae,Orconectes,nais,f,w,a,"Lawrence, Kansas",38.971266,-95.218795,1,21,rest_MR,MR,rest,10,20,740,NA,NA,NA,NA,1100,NA,NA,NA,NA,1100,NA,NA,NA,NA,1800,NA,NA,NA,NA,ul/hr,
p011_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Pectinidae,Aequipecten,opercularis,m,c,a,"Ardtoe, Scotland",56.75,5.9,1,42,sprint,swim,sprint,5,15,4.44,0.16,8,0.1,-2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,0.16,8,0.08,-2.56,,
p012_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,aspersa,t,w,a,Crete,35.2401,24.8093,1,16,cardiac,HR,rest,6,20,9,1,6,0.27,-1.3,20,2,6,0.24,-1.41,12.5,2,6,0.39,-0.94,20,2,6,0.24,-1.41,bpm,
p012_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,lucorum,t,w,a,"Edessa, Greece",40.8,22.05,1,16,cardiac,HR,rest,6,20,6,1,6,0.41,-0.9,18,2,6,0.27,-1.3,9,2,6,0.54,-0.61,25,2,6,0.2,-1.63,bpm,
p013_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.340733,-2.772717,1,50,ATPase,ATPase,myofibrillar,5,15,0.16,0.01,6,0.15,-1.88,0.48,0.06,6,0.31,-1.18,0.13,0.01,6,0.19,-1.67,0.44,0.06,6,0.33,-1.1,umol pi mg-1 min-1,
p013_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.340733,-2.772717,1,50,muscle,tension,muscle,5,15,97,15,10,0.49,-0.72,147,15,10,0.32,-1.13,110,12,10,0.34,-1.06,108,10,10,0.29,-1.23,kN m-2,
p013_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.340733,-2.772717,1,50,muscle,velocity,muscle,5,15,3.5,0.8,10,0.72,-0.32,4.1,0.2,10,0.15,-1.87,2.8,1,10,1.13,0.12,6.2,0.8,10,0.41,-0.9,L s-1,
p014_o,NA,NA,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,scrofa,f,w,a,"Pirassununga, Brazil",-21.89584,-47.402312,1,28,rest_MR,MR,rest,15,25,1.72,0.38,10,0.69,-0.37,5.94,0.78,10,0.42,-0.88,0.63,0.25,10,1.26,0.24,3.44,0.25,10,0.23,-1.47,,
p014_o,NA,NA,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,scrofa,f,w,a,"Pirassununga, Brazil",-21.89584,-47.402312,1,28,rest_MR,MR,rest,25,35,3.44,0.31,10,0.29,-1.25,14.38,2.5,10,0.55,-0.6,2.34,0.38,10,0.51,-0.68,8.75,1.56,10,0.56,-0.57,,
p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,1,50,muscle,Fibre Vmax,muscle length s-1,5,15,3.7,0.2,8,0.15,-1.88,3,0.7,5,0.52,-0.65,3.6,0.5,5,0.31,-1.17,7.1,0.9,5,0.28,-1.26,muscle length s-1,
p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,2,50,muscle,Fibre Vmax,muscle length s-1,5,15,4.4,0.4,10,0.29,-1.25,4,0.3,7,0.2,-1.62,3.2,0.7,7,0.58,-0.55,6.4,0.5,7,0.21,-1.58,muscle length s-1,
p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,1,50,muscle,Muscle force - tetani,kNm-2,5,15,139.4,14.5,11,0.34,-1.06,78.3,15.8,10,0.64,-0.45,124.9,20.4,10,0.52,-0.66,282,2.6,8,0.03,-3.65,,
p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,2,50,muscle,Muscle force - tetani,kNm-2,5,15,161.7,14.2,12,0.3,-1.19,74.2,12.5,9,0.51,-0.68,179.4,18.6,6,0.25,-1.37,266.7,1,7,0.01,-4.61,kNm-2,
p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,1,50,muscle,Muscle force - twitch,kNm-2,5,15,72.3,13,12,0.62,-0.47,26.2,10,11,1.27,0.24,80.6,11.2,11,0.46,-0.77,127.4,19,9,0.45,-0.8,,
p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,2,50,muscle,Muscle force - twitch,kNm-2,5,15,82.8,10.5,12,0.44,-0.82,24.1,4.3,12,0.62,-0.48,114.5,9.2,7,0.21,-1.55,128.6,21.2,8,0.47,-0.76,kNm-2,
p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,1,50,muscle,Muscle Wmax,W kg-1,5,15,121.1,33.3,8,0.78,-0.25,33.62,8.48,5,0.56,-0.57,55.3,20,5,0.81,-0.21,206.3,17.5,5,0.19,-1.66,W kg-1,
p016_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,1,50,sprint,Swim,velocity,5,15,0.8,0.1,6,0.31,-1.18,0.98,0.06,8,0.17,-1.75,NA,NA,NA,NA,NA,1.3,0.07,5,0.12,-2.12,m/s,
p016_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.04201793,-3.262017593,1,50,sprint,Swim,acceleration,5,15,16.16,4.17,6,0.63,-0.46,18.41,1.88,8,0.29,-1.24,NA,NA,NA,NA,NA,22.04,2.88,5,0.29,-1.23,m/s2,
p017_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,a,"Coruna, Spain",NA,NA,1,21,rest_MR,MR,rest,14,26,0.56,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.32,NA,NA,NA,ul/mg/h-1,
p018_o,NA,NA,Chordata,Amphibia,Urodela,Salamandridae,Notophthalmus,viridescens,f,c,a,"Nashville, Te, USA",36.2,86.75,1,84,metabolic_enzyme,COX,"muscle, mixed",8,26,4.7,0.3,NA,NA,NA,8.5,0.6,NA,NA,NA,3.4,0.2,NA,NA,NA,6.9,0.5,NA,NA,NA,,
p018_o,NA,NA,Chordata,Amphibia,Urodela,Salamandridae,Notophthalmus,viridescens,f,c,a,"Nashville, Te, USA",36.2,86.75,1,84,metabolic_enzyme,CS,"muscle, mixed",8,26,3.8,0.1,NA,NA,NA,8.05,0.5,NA,NA,NA,2.3,0.1,NA,NA,NA,5.4,0.4,NA,NA,NA,,
p018_o,NA,NA,Chordata,Amphibia,Urodela,Salamandridae,Notophthalmus,viridescens,f,c,a,"Nashville, Te, USA",36.2,86.75,1,84,metabolic_enzyme,LDH,"muscle, mixed",8,26,125,7,NA,NA,NA,400,23,NA,NA,NA,119,6,NA,NA,NA,410,25,NA,NA,NA,,
p018_o,NA,NA,Chordata,Amphibia,Urodela,Salamandridae,Notophthalmus,viridescens,f,c,a,"Nashville, Te, USA",36.2,86.75,1,84,rest_MR,MR,SMR,8,26,2.72,0.27,10,0.31,-1.17,6.21,0.27,10,0.14,-1.99,1.47,0.27,10,0.57,-0.55,4.64,0.31,10,0.21,-1.55,light conditions were also changed,
p019_o,NA,NA,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,f,c,j,"Ile d'Orleans, Quebec, Canada",46.56,70.58,1,56,metabolic_enzyme,COX,"muscle, red",5,15,54.3,3,NA,NA,NA,65.5,3,NA,NA,NA,50.4,2.5,NA,NA,NA,64.1,3.5,NA,NA,NA,,
p019_o,NA,NA,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,f,c,j,"Ile d'Orleans, Quebec, Canada",46.56,70.58,1,56,metabolic_enzyme,CPT1,"muscle, red",5,15,0.37,0.02,NA,NA,NA,0.74,0.03,NA,NA,NA,0.2,0.01,NA,NA,NA,0.42,0.02,NA,NA,NA,,
p019_o,NA,NA,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,f,c,j,"Ile d'Orleans, Quebec, Canada",46.56,70.58,1,56,metabolic_enzyme,CS,"muscle, red",5,15,17.1,0.6,NA,NA,NA,28.4,0.7,NA,NA,NA,14.2,0.6,NA,NA,NA,22.6,0.9,NA,NA,NA,,
p020_o,NA,NA,Chordata,Actinopterygii,Perciformes,Percidae,Perca,fluviatilis,f,w,a,"Turku, Finland",60.447637,22.266433,1,21,cardiac,Heart rate,,5,18,19,NA,NA,NA,NA,75,NA,NA,NA,NA,12,NA,NA,NA,NA,68,NA,NA,NA,NA,bpm,"isolated heart, no N provided - SE difficult to estimate"
p021_o,NA,NA,Echinodermata,Echinoidea,Echinoida,Echinidae,Sterechinus,neumayeri,m,w,a,Rothera Point Antarctica,-67.56590839,-68.12086546,2,NA,rest_MR,MR,rest,-1.7,0.6,1.05,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.25,NA,NA,NA,units are in umol/h,
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dorsalis,t,w,a,"Fayetteville, Arkansas","36.076389,",-94.16,1,14,rest_MR,MR,rest,5,10,13.8,0.43,15,0.12,-2.11,19.3,0.69,15,0.14,-1.98,13.3,0.25,15,0.07,-2.62,14.8,0.38,15,0.1,-2.31,ul/g/h,aquatic or terrestrial??? Query for all salamanders
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dorsalis,t,w,a,"Fayetteville, Arkansas","36.076389,",-94.16,1,14,rest_MR,MR,rest,10,15,14.8,0.38,15,0.1,-2.31,26.3,0.67,15,0.1,-2.32,15.8,0.38,15,0.09,-2.37,21.8,0.64,15,0.11,-2.17,ul/g/h,
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dorsalis,t,w,a,"Fayetteville, Arkansas","36.076389,",-94.16,1,14,rest_MR,MR,rest,15,20,21.8,0.64,15,0.11,-2.17,61.9,3.23,15,0.2,-1.6,47.3,2.1,15,0.17,-1.76,46.5,1.13,15,0.09,-2.36,ul/g/h,
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dorsalis,t,w,a,"Fayetteville, Arkansas","36.076389,",-94.16,1,14,rest_MR,MR,rest,20,25,46.5,1.13,15,0.09,-2.36,75.2,1.79,15,0.09,-2.38,54.7,1.97,15,0.14,-1.97,76,1.56,15,0.08,-2.53,ul/g/h,
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,5,10,13.8,0.43,15,0.12,-2.11,19.3,0.69,15,0.14,-1.98,13.3,0.25,15,0.07,-2.62,14.8,0.38,15,0.1,-2.31,ul/g/h,Replicated from above??
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,10,15,14.8,0.38,15,0.1,-2.31,26.3,0.67,15,0.1,-2.32,15.8,0.38,15,0.09,-2.37,21.8,0.64,15,0.11,-2.17,ul/g/h,
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,15,20,21.8,0.64,15,0.11,-2.17,61.9,3.23,15,0.2,-1.6,47.3,2.1,15,0.17,-1.76,46.5,1.13,15,0.09,-2.36,ul/g/h,
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,20,25,46.5,1.13,15,0.09,-2.36,75.2,1.79,15,0.09,-2.38,54.7,1.97,15,0.14,-1.97,76,1.56,15,0.08,-2.53,ul/g/h,
p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,10,20,14.8,0.38,15,0.1,-2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,1.13,15,0.09,-2.36,ul/g/h,
p023_o,NA,NA,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,arafurae,f,c,a,Queensland,NA,NA,1,91,rest_MR,MR,SMR,24,32,0.88,0.13,8,0.42,-0.88,1.86,0.14,8,0.21,-1.55,0.74,0.08,9,0.32,-1.13,1.3,0.12,9,0.28,-1.28,,
p024_o,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,t,w,j,Arizona,34,-112,1,21,rest_MR,MR,rest,6,25,6,2,8,0.94,-0.06,44,5,8,0.32,-1.14,14,5,11,1.18,0.17,52,6,11,0.38,-0.96,ul STPD/g/h,
p024_o,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,t,w,j,Arizona,34,-112,1,21,rest_MR,MR,max,6,25,14,2,8,0.4,-0.91,107,10,8,0.26,-1.33,24,4,11,0.55,-0.59,137,16,11,0.39,-0.95,ul STPD/g/h,
p024_o,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,t,w,a,Arizona,34,-112,1,21,rest_MR,MR,rest,6,25,12,5,5,0.93,-0.07,63,10,5,0.35,-1.04,17,2,7,0.31,-1.17,86,7,7,0.22,-1.54,ul STPD/g/h,
p024_o,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,t,w,a,Arizona,34,-112,1,21,rest_MR,MR,max,6,25,27,5,5,0.41,-0.88,172,6,5,0.08,-2.55,25,3,7,0.32,-1.15,236,20,7,0.22,-1.5,ul STPD/g/h,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,other,Filtration rate,5,10,32.37,6.3,4,0.39,-0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.11,7.1,4,0.21,-1.54,ml/h,,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,other,Filtration rate,5,15,32.37,6.3,4,0.39,-0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,37,4,0.46,-0.78,ml/h,,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,other,Filtration rate,5,20,32.37,6.3,4,0.39,-0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,23,4,0.32,-1.14,ml/h,,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,other,Filtration rate,5,25,32.37,6.3,4,0.39,-0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,30,4,0.44,-0.81,ml/h,,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,other,Filtration rate,10,20,66,7,4,0.21,-1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,23,4,0.32,-1.14,ml/h,,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,rest_MR,MR,rest,5,10,7.95,2.8,4,0.7,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,1.2,4,0.52,-0.66,ul/hr,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,rest_MR,MR,rest,5,15,7.95,2.8,4,0.7,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21,1.2,4,0.39,-0.95,ul/hr,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,rest_MR,MR,rest,5,20,7.95,2.8,4,0.7,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26,1.2,4,0.33,-1.11,ul/hr,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,rest_MR,MR,rest,5,25,7.95,2.8,4,0.7,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,5.8,4,0.52,-0.65,ul/hr,
p025_o,NA,NA,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,edulis,m,c,j,Knysna,-34.035556,23.048889,1,30,rest_MR,MR,rest,10,20,4.65,1.2,4,0.52,-0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26,1.2,4,0.33,-1.11,ul/hr,
p026_o,NA,NA,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,pholis,m,w,a,"Port Erin, Is of Man",53.523191,-5.099328,1,30,rest_MR,MR,rest,10,20,60,1.2,18,0.08,-2.47,120,2,18,0.07,-2.65,55,3,18,0.23,-1.46,85,4,18,0.2,-1.61,ml/g/h,
p027_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,oregonensis,f,w,a,"Bonneville Dam, Columbia river",45.644167,-121.94056,1,21,rest_MR,MR,rest,9,15,24.3,2.2,18,0.38,-0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1,6.6,16,0.54,-0.62,mg kg-.67 h-1,
p027_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,oregonensis,f,w,a,"Bonneville Dam, Columbia river",45.644167,-121.94056,1,21,rest_MR,MR,rest,9,21,24.3,2.2,18,0.38,-0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,28.6,14,1.2,0.18,mg kg-.67 h-2,
p027_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,oregonensis,f,w,a,"Bonneville Dam, Columbia river",45.644167,-121.94056,1,21,rest_MR,MR,rest,9,18,24.3,2.2,18,0.38,-0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,8.7,16,0.46,-0.77,mg kg-.67 h-3,
