obs,spp_names,record_num,data_source,source_page,phylum,class,order,family,genus,species,habitat,source,life hist,geo_location,lat,long,acclim_type,acclim_period,trait_category,trait,details,temp_1,temp_2,r1.1,r1.1_se,r1.1_N,r1.1_CV,r1.1_logCV,r1.2,r1.2_se,r1.2_N,r1.2_CV,r1.2_logCV,r2.1,r2.1_se,r2.1_N,r2.1_CV,r2.1_logCV,r2.2,r2.2_se,r2.2_N,r2.2_CV,r2.2_logCV,Type,treat,ES,V_ES,units,notes
17,Mya_arenaria,p007_o,NA,NA,Mollusca,Bivalvia,Myoida,Myidae,Mya,arenaria,m,w,a,Blue Hill Falls,44.413889,-68.586667,1,14,rest_MR,MR,rest,10,20,0.35,0.04,8,0.32,-1.13,0.4,0.03,8,0.21,-1.55,0.11,0.05,8,1.31,0.27,0.25,0.03,8,0.34,-1.08,Q10RR,ac,0.133531393,0.018686224,ml/g/h,low intertidal
18,Mya_arenaria,p007_o,NA,NA,Mollusca,Bivalvia,Myoida,Myidae,Mya,arenaria,m,w,a,Blue Hill Falls,44.413889,-68.586667,1,14,rest_MR,MR,rest,10,20,0.4,0.06,8,0.42,-0.86,0.3,0.06,8,0.57,-0.57,0.2,0.05,8,0.71,-0.35,0.22,0.05,8,0.64,-0.44,Q10RR,ac,-0.287682073,0.0625,ml/g/h,subtidal
24,Helix_aspersa,p012_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,aspersa,t,w,a,Crete,32.21,24.91,1,16,cardiac,HR,rest,6,20,9,1,6,0.27,-1.3,20,2,6,0.24,-1.41,12.5,2,6,0.39,-0.94,20,2,6,0.24,-1.41,Q10RR,ac,0.57036264,0.011400857,bpm,NA
25,Helix_lucorum,p012_o,NA,NA,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,lucorum,t,w,a,"Edessa, Greece",40.8,22.05,1,16,cardiac,HR,rest,6,20,6,1,6,0.41,-0.9,18,2,6,0.27,-1.3,9,2,6,0.54,-0.61,25,2,6,0.2,-1.63,Q10RR,ac,0.784723063,0.020471151,bpm,NA
26,Myoxocephalus_scorpius,p013_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,ATPase,ATPase,myofibrillar,5,15,0.16,0.01,6,0.15,-1.88,0.48,0.06,6,0.31,-1.18,0.13,0.01,6,0.19,-1.67,0.44,0.06,6,0.33,-1.1,Q10RR,ac,1.098612289,0.01953125,umol pi mg-1 min-1,NA
27,Myoxocephalus_scorpius,p013_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,muscle,tension,muscle,5,15,97,15,10,0.49,-0.72,147,15,10,0.32,-1.13,110,12,10,0.34,-1.06,108,10,10,0.29,-1.23,Q10RR,ac,0.415721608,0.034325603,kN m-2,NA
28,Myoxocephalus_scorpius,p013_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,muscle,velocity,muscle,5,15,3.5,0.8,10,0.72,-0.32,4.1,0.2,10,0.15,-1.87,2.8,1,10,1.13,0.12,6.2,0.8,10,0.41,-0.9,Q10RR,ac,0.158224005,0.054624434,L s-1,NA
29,Prochilodus_scrofa,p014_o,NA,NA,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,scrofa,f,w,a,"Pirassununga, Brazil",22,47.4,1,28,rest_MR,MR,rest,15,25,1.72,0.38,10,0.69,-0.37,5.94,0.78,10,0.42,-0.88,0.63,0.25,10,1.26,0.24,3.44,0.25,10,0.23,-1.47,Q10RR,ac,1.239384843,0.066053306,NA,NA
30,Prochilodus_scrofa,p014_o,NA,NA,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,scrofa,f,w,a,"Pirassununga, Brazil",22,47.4,1,28,rest_MR,MR,rest,25,35,3.44,0.31,10,0.29,-1.25,14.38,2.5,10,0.55,-0.6,2.34,0.38,10,0.51,-0.68,8.75,1.56,10,0.56,-0.57,Q10RR,ac,1.430366881,0.038345661,NA,NA
31,Myoxocephalus_scorpius,p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,muscle,Fibre Vmax,muscle length s-1,5,15,3.7,0.2,8,0.15,-1.88,3,0.7,5,0.52,-0.65,3.6,0.5,5,0.31,-1.17,7.1,0.9,5,0.28,-1.26,Q10RR,ac,-0.209720531,0.057366285,muscle length s-1,NA
32,Myoxocephalus_scorpius,p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,2,50,muscle,Fibre Vmax,muscle length s-1,5,15,4.4,0.4,10,0.29,-1.25,4,0.3,7,0.2,-1.62,3.2,0.7,7,0.58,-0.55,6.4,0.5,7,0.21,-1.58,Q10RR,ac,-0.09531018,0.013889463,muscle length s-1,NA
33,Myoxocephalus_scorpius,p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,muscle,Muscle force - tetani,kNm-2,5,15,139.4,14.5,11,0.34,-1.06,78.3,15.8,10,0.64,-0.45,124.9,20.4,10,0.52,-0.66,282,2.6,8,0.03,-3.65,Q10RR,ac,-0.576799895,0.051537976,NA,NA
34,Myoxocephalus_scorpius,p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,2,50,muscle,Muscle force - tetani,kNm-2,5,15,161.7,14.2,12,0.3,-1.19,74.2,12.5,9,0.51,-0.68,179.4,18.6,6,0.25,-1.37,266.7,1,7,0.01,-4.61,Q10RR,ac,-0.778978616,0.036091804,kNm-2,NA
35,Myoxocephalus_scorpius,p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,muscle,Muscle force - twitch,kNm-2,5,15,72.3,13,12,0.62,-0.47,26.2,10,11,1.27,0.24,80.6,11.2,11,0.46,-0.77,127.4,19,9,0.45,-0.8,Q10RR,ac,-1.015064718,0.178009484,NA,NA
36,Myoxocephalus_scorpius,p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,2,50,muscle,Muscle force - twitch,kNm-2,5,15,82.8,10.5,12,0.44,-0.82,24.1,4.3,12,0.62,-0.48,114.5,9.2,7,0.21,-1.55,128.6,21.2,8,0.47,-0.76,Q10RR,ac,-1.234216221,0.047916032,kNm-2,NA
37,Myoxocephalus_scorpius,p015_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,muscle,Muscle Wmax,W kg-1,5,15,121.1,33.3,8,0.78,-0.25,33.62,8.48,5,0.56,-0.57,55.3,20,5,0.81,-0.21,206.3,17.5,5,0.19,-1.66,Q10RR,ac,-1.281495523,0.13923403,W kg-1,NA
38,Myoxocephalus_scorpius,p016_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,sprint,Swim,velocity,5,15,0.8,0.1,6,0.31,-1.18,0.98,0.06,8,0.17,-1.75,NA,NA,NA,NA,NA,1.3,0.07,5,0.12,-2.12,Q10RR,ac,0.202940844,0.019373438,m/s,NA
39,Myoxocephalus_scorpius,p016_o,NA,NA,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,"St Andrews, Scotland",56.3404,-2.7955,1,50,sprint,Swim,acceleration,5,15,16.16,4.17,6,0.63,-0.46,18.41,1.88,8,0.29,-1.24,NA,NA,NA,NA,NA,22.04,2.88,5,0.29,-1.23,Q10RR,ac,0.130354942,0.077015163,m/s2,NA
44,Notophthalmus_viridescens,p018_o,NA,NA,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,f,c,a,"Nashville, Te, USA",36.2,86.75,1,84,rest_MR,MR,SMR,8,26,2.72,0.27,10,0.31,-1.17,6.21,0.27,10,0.14,-1.99,1.47,0.27,10,0.57,-0.55,4.64,0.31,10,0.21,-1.55,Q10RR,ac,0.458627231,0.003624642,light conditions were also changed,NA
50,Plethodon_dorsalis,p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dorsalis,t,w,a,"Fayetteville, Arkansas",36.076389,-94.16,1,14,rest_MR,MR,rest,5,10,13.8,0.43,15,0.12,-2.11,19.3,0.69,15,0.14,-1.98,13.3,0.25,15,0.07,-2.62,14.8,0.38,15,0.1,-2.31,Q10RR,ac,0.670873008,0.008996258,ul/g/h,aquatic or terrestrial??? Query for all salamanders
51,Plethodon_dorsalis,p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dorsalis,t,w,a,"Fayetteville, Arkansas",36.076389,-94.16,1,14,rest_MR,MR,rest,10,15,14.8,0.38,15,0.1,-2.31,26.3,0.67,15,0.1,-2.32,15.8,0.38,15,0.09,-2.37,21.8,0.64,15,0.11,-2.17,Q10RR,ac,1.149883517,0.005232922,ul/g/h,NA
52,Plethodon_dorsalis,p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dorsalis,t,w,a,"Fayetteville, Arkansas",36.076389,-94.16,1,14,rest_MR,MR,rest,15,20,21.8,0.64,15,0.11,-2.17,61.9,3.23,15,0.2,-1.6,47.3,2.1,15,0.17,-1.76,46.5,1.13,15,0.09,-2.36,Q10RR,ac,2.08722042,0.014338922,ul/g/h,NA
53,Plethodon_dorsalis,p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dorsalis,t,w,a,"Fayetteville, Arkansas",36.076389,-94.16,1,14,rest_MR,MR,rest,20,25,46.5,1.13,15,0.09,-2.36,75.2,1.79,15,0.09,-2.38,54.7,1.97,15,0.14,-1.97,76,1.56,15,0.08,-2.53,Q10RR,ac,0.961397837,0.004628537,ul/g/h,NA
54,Eurycea_multiplicata,p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,5,10,13.8,0.43,15,0.12,-2.11,19.3,0.69,15,0.14,-1.98,13.3,0.25,15,0.07,-2.62,14.8,0.38,15,0.1,-2.31,Q10RR,ac,0.670873008,0.008996258,ul/g/h,Replicated from above??
55,Eurycea_multiplicata,p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,10,15,14.8,0.38,15,0.1,-2.31,26.3,0.67,15,0.1,-2.32,15.8,0.38,15,0.09,-2.37,21.8,0.64,15,0.11,-2.17,Q10RR,ac,1.149883517,0.005232922,ul/g/h,NA
56,Eurycea_multiplicata,p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,15,20,21.8,0.64,15,0.11,-2.17,61.9,3.23,15,0.2,-1.6,47.3,2.1,15,0.17,-1.76,46.5,1.13,15,0.09,-2.36,Q10RR,ac,2.08722042,0.014338922,ul/g/h,NA
57,Eurycea_multiplicata,p022_o,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,f,w,a,"Fayetteville, Arkansas",36.07638,-94.16,1,14,rest_MR,MR,rest,20,25,46.5,1.13,15,0.09,-2.36,75.2,1.79,15,0.09,-2.38,54.7,1.97,15,0.14,-1.97,76,1.56,15,0.08,-2.53,Q10RR,ac,0.961397837,0.004628537,ul/g/h,NA
59,Acrochordus_arafurae,p023_o,NA,NA,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,arafurae,f,c,a,Queensland,NA,NA,1,91,rest_MR,MR,SMR,24,32,0.88,0.13,8,0.42,-0.88,1.86,0.14,8,0.21,-1.55,0.74,0.08,9,0.32,-1.13,1.3,0.12,9,0.28,-1.28,Q10RR,ac,0.935512324,0.042951159,NA,NA
60,Ambystoma_tigrinum,p024_o,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,t,w,j,Arizona,34,-112,1,21,rest_MR,MR,rest,6,25,6,2,8,0.94,-0.06,44,5,8,0.32,-1.14,14,5,11,1.18,0.17,52,6,11,0.38,-0.96,Q10RR,ac,1.048647455,0.034355771,ul STPD/g/h,NA
61,Ambystoma_tigrinum,p024_o,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,t,w,j,Arizona,34,-112,1,21,rest_MR,MR,max,6,25,14,2,8,0.4,-0.91,107,10,8,0.26,-1.33,24,4,11,0.55,-0.59,137,16,11,0.39,-0.95,Q10RR,ac,1.070406055,0.008072729,ul STPD/g/h,NA
62,Ambystoma_tigrinum,p024_o,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,t,w,a,Arizona,34,-112,1,21,rest_MR,MR,rest,6,25,12,5,5,0.93,-0.07,63,10,5,0.35,-1.04,17,2,7,0.31,-1.17,86,7,7,0.22,-1.54,Q10RR,ac,0.872751619,0.055071018,ul STPD/g/h,NA
63,Ambystoma_tigrinum,p024_o,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,t,w,a,Arizona,34,-112,1,21,rest_MR,MR,max,6,25,27,5,5,0.41,-0.88,172,6,5,0.08,-2.55,25,3,7,0.32,-1.15,236,20,7,0.22,-1.5,Q10RR,ac,0.974556637,0.009836683,ul STPD/g/h,NA
74,Blennius_pholis,p026_o,NA,NA,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,pholis,m,w,a,"Port Erin, Is of Man",54.086,-4.756,1,30,rest_MR,MR,rest,10,20,60,1.2,18,0.08,-2.47,120,2,18,0.07,-2.65,55,3,18,0.23,-1.46,85,4,18,0.2,-1.61,Q10RR,ac,0.693147181,0.000677778,ml/g/h,NA
83,Elusor_macrurus,p031_o,NA,NA,Chordata,Reptilia,Testudines,Chelidae,Elusor,macrurus,f,w,j,"Mary River, QLD, Austraia",25.72,152.58,1,56,rest_MR,MR,rest,17,28,3.57,0.04,6,0.02,-3.71,7.14,0.54,6,0.18,-1.69,2.68,0.4,7,0.4,-0.92,7.59,0.76,7,0.26,-1.33,Q10RR,ac,0.630133801,0.004830971,NA,NA
84,Elusor_macrurus,p031_o,NA,NA,Chordata,Reptilia,Testudines,Chelidae,Elusor,macrurus,f,w,j,"Mary River, QLD, Austraia",25.72,152.58,1,56,sprint,swim,sprint,17,28,0.68,0.03,6,0.09,-2.41,0.79,0.03,6,0.09,-2.41,0.67,0.02,7,0.06,-2.83,0.79,0.02,7,0.05,-2.93,Q10RR,ac,0.136309225,0.002800366,units in m/s,NA
86,Messor_capensis,p032_o,NA,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Messor,capensis,t,w,a,"Bartholomeus Klip Farm, W Cape Province, South Africa",33.74,19.04,1,8,sprint,run,NA,20,30,0.01,0,121,0.79,-0.23,0.02,0,121,0.52,-0.66,0.01,0,121,0.76,-0.27,0.02,0,121,0.48,-0.74,Q10RR,ac,0.693147181,0,units in m/s,NA
87,Danio_rerio,p033_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,rerio,f,c,a,"Brisbane QLD, Australia",27.5,153,1,56,sprint,swim,sprint,16,30,0.82,0.02,15,0.09,-2.36,1.35,0.02,15,0.06,-2.86,0.68,0.03,16,0.18,-1.73,1.25,0.01,16,0.03,-3.44,Q10RR,ac,0.356111094,0.000415491,units in m/s,NA
88,Cyprinus_carpio,p034_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,f,c,a,"Humberside, England",53.6,-0.5,1,96,ATPase,ATPase,muscle,8,20,0.36,0.02,6,0.14,-1.99,0.86,0.05,6,0.14,-1.95,0.18,0.01,6,0.14,-1.99,0.58,0.05,6,0.21,-1.56,Q10RR,ac,0.725690298,0.004490712,umol Pi/mg/min,Mg/Ca activated
89,Cyprinus_carpio,p034_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,f,c,a,"Humberside, England",53.6,-0.5,1,96,ATPase,ATPase,muscle,8,20,0.05,0.01,6,0.57,-0.57,0.02,0.01,6,1.53,0.43,0.03,0,6,0.31,-1.18,0.1,0.01,6,0.22,-1.5,Q10RR,ac,-0.76357561,0.201388889,umol Pi/mg/min,Mg EGTA activated
90,Chrysemys_picta,p034_o,NA,NA,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,picta,f,w,a,"Hiland Lake, Michigan",42.434722,-83.985,2,NA,other,GFR,rest,5,25,1.1,0.02,15,0.05,-2.94,11.5,0.03,15,0.01,-4.59,0.9,0.02,15,0.06,-2.74,9.7,0.2,15,0.08,-2.53,Q10RR,ac,1.173518428,8.43E-05,ml/kg/h,NA
91,Chrysemys_picta,p034_o,NA,NA,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,picta,f,w,a,"Hiland Lake, Michigan",42.434722,-83.985,2,NA,other,Urine prod,rest,5,25,0.75,0.01,15,0.05,-2.96,5.3,0.3,15,0.22,-1.52,0.5,0.01,15,0.08,-2.56,3.9,0.2,15,0.2,-1.62,Q10RR,ac,0.977694447,0.000845441,ml/kg/h,NA
93,Catla_catla,p036_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Catla,catla,f,c,j,"Saphale, India",19.55,72.83,1,30,rest_MR,MR,rest,26,36,2.54,0.02,6,0.02,-3.86,5.49,0.11,6,0.05,-3,NA,NA,NA,NA,NA,4.4,0.07,6,0.04,-3.23,Q10RR,ac,0.770764175,0.000463459,NA,NA
94,Labeo_rohita,p036_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,rohita,f,c,j,"Saphale, India",19.55,72.83,1,30,rest_MR,MR,rest,26,36,2.37,0.06,6,0.06,-2.82,2.02,0.05,6,0.06,-2.89,NA,NA,NA,NA,NA,3.84,0.04,6,0.03,-3.58,Q10RR,ac,-0.159792444,0.001253608,NA,NA
95,Cirrhinus_mrigala,p036_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cirrhinus,mrigala,f,c,j,"Saphale, India",19.55,72.83,1,30,rest_MR,MR,rest,26,36,2.18,0.02,6,0.02,-3.97,4.7,0.11,6,0.05,-2.91,NA,NA,NA,NA,NA,3.65,0.04,6,0.03,-3.6,Q10RR,ac,0.768237632,0.000631927,NA,NA
102,Halozetes_marinus,p039_o,NA,NA,Arthropoda,Arachnida,Acarina,Podacaridae,Halozetes,marinus,t,w,a,Marion Island,46.9,37.75,1,7,sprint,run,sprint,0,10,2.05,0.1,20,0.22,-1.52,8,0.2,20,0.11,-2.19,0.2,0.2,20,4.47,1.5,8,0.2,20,0.11,-2.19,Q10RR,ac,1.361601749,0.003004536,units in leg strokes/20 s,NA
103,Halozetes_fulvus,p039_o,NA,NA,Arthropoda,Arachnida,Acarina,Podacaridae,Halozetes,fulvus,t,w,a,Marion Island,46.9,37.75,1,7,sprint,run,sprint,0,10,2.3,0.1,20,0.19,-1.64,7.3,0.1,20,0.06,-2.79,0.1,0.1,20,4.47,1.5,7.3,0.2,20,0.12,-2.1,Q10RR,ac,1.154965225,0.002078012,units in leg strokes/20 s,NA
104,Podacarus_auberti,p039_o,NA,NA,Arthropoda,Arachnida,Acarina,Podacaridae,Podacarus,auberti,t,w,a,Marion Island,46.9,37.75,1,7,sprint,run,sprint,0,10,2.5,0.2,20,0.36,-1.03,8.2,0.2,20,0.11,-2.22,0.2,0.1,20,2.24,0.8,8.7,0.2,20,0.1,-2.27,Q10RR,ac,1.187843422,0.006994884,units in leg strokes/20 s,NA
105,Halozetes_belgicae,p039_o,NA,NA,Arthropoda,Arachnida,Acarina,Podacaridae,Halozetes,belgicae,t,w,a,Marion Island,46.9,37.75,1,7,sprint,run,sprint,0,10,3.2,0.2,20,0.28,-1.27,12.5,0.5,20,0.18,-1.72,0.2,0.1,20,2.24,0.8,11.3,0.4,20,0.16,-1.84,Q10RR,ac,1.362577835,0.00550625,units in leg strokes/20 s,NA
117,Acanthochromis_polyacanthus,p044_o,NA,NA,Chordata,Actinopterygii,Perciformes,Pomacentridae,Acanthochromis,polyacanthus,m,w,j,"Palm Is QLD, Australia",18.75,146.6,1,120,rest_MR,MR,rest,28.5,31.5,9.22,0.31,28,0.18,-1.72,8.91,0.47,28,0.28,-1.28,13.76,1.09,30,0.44,-0.83,11.72,0.31,30,0.15,-1.92,Q10RR,ac,-0.114002654,0.043477882,NA,NA
118,Acanthochromis_polyacanthus,p044_o,NA,NA,Chordata,Actinopterygii,Perciformes,Pomacentridae,Acanthochromis,polyacanthus,m,w,j,"Palm Is QLD, Australia",18.75,146.6,1,21,rest_MR,MR,rest,22.5,25.5,5.06,0.19,19,0.16,-1.82,4.85,0.31,19,0.28,-1.27,7.13,0.38,19,0.23,-1.47,7.22,0.31,19,0.19,-1.67,Q10RR,ac,-0.141292595,0.06106009,NA,NA
125,Caenorhabditis_elegans,p047_o,NA,NA,Nematoda,Secernentea,Rhabditida,Rhabditidae,Caenorhabditis,elegans,f,c,a,NA,NA,NA,1,30,rest_MR,MR,rest,15,20,8.5,1,4,0.24,-1.45,12,1.5,4,0.25,-1.39,8.5,1,4,0.24,-1.45,14.5,2,4,0.28,-1.29,Q10RR,ac,0.689680973,0.117863322,ul/mg.h,NA
126,Caenorhabditis_elegans,p047_o,NA,NA,Nematoda,Secernentea,Rhabditida,Rhabditidae,Caenorhabditis,elegans,f,c,a,NA,NA,NA,1,30,rest_MR,MR,rest,15,25,8.5,1,4,0.24,-1.45,17,2,4,0.24,-1.45,7.5,0.08,4,0.02,-3.85,22,1,4,0.09,-2.4,Q10RR,ac,0.693147181,0.027681661,ul/mg.h,NA
127,Caenorhabditis_elegans,p047_o,NA,NA,Nematoda,Secernentea,Rhabditida,Rhabditidae,Caenorhabditis,elegans,f,c,a,NA,NA,NA,1,30,rest_MR,MR,rest,20,25,14.5,2,4,0.28,-1.29,20.5,1.5,4,0.15,-1.92,13,2,4,0.31,-1.18,22,1,4,0.09,-2.4,Q10RR,ac,0.692552473,0.097515705,ul/mg.h,NA
