"paper","habitat","source","life.hist","lat","long","acclim_type","acclim_period","trait_category","trait","temp_1","temp_2","r1.1","r1.1_N","r1.2","r1.2_N","r2.1","r2.1_N","r2.2","r2.2_N","units","species_full","r1.1_sd","r1.2_sd","r2.1_sd","r2.2_sd","lnRR_Q10","V_lnRR_Q10","lnVR_Q10","V_lnVR_Q10","lnCVR_Q10","V_lnCVR_Q10","type"
"p039_o","t","w","a",46.9,37.75,1,7,"sprint","run",0,10,2.05,20,8,20,0.2,20,8,20,"units in leg strokes/20 s","Halozetes marinus",0.447213595499958,0.894427190999916,0.894427190999916,0.894427190999916,1.36160174852952,0.00300453599048186,0.693147180559945,0.0526315789473684,-0.668454567969574,0.0556361149378503,"acute"
"p039_o","t","w","a",46.9,37.75,1,7,"sprint","run",0,10,2.3,20,7.3,20,0.1,20,7.3,20,"units in leg strokes/20 s","Halozetes fulvus",0.447213595499958,0.447213595499958,0.447213595499958,0.894427190999916,1.15496522521924,0.00207801163587192,0,0.0526315789473684,-1.15496522521924,0.0547095905832403,"acute"
"p039_o","t","w","a",46.9,37.75,1,7,"sprint","run",0,10,2.5,20,8.2,20,0.2,20,8.7,20,"units in leg strokes/20 s","Podacarus auberti",0.894427190999916,0.894427190999916,0.447213595499958,0.894427190999916,1.18784342239605,0.00699488399762047,0,0.0526315789473684,-1.18784342239605,0.0596264629449889,"acute"
"p039_o","t","w","a",46.9,37.75,1,7,"sprint","run",0,10,3.2,20,12.5,20,0.2,20,11.3,20,"units in leg strokes/20 s","Halozetes belgicae",0.894427190999916,2.23606797749979,0.447213595499958,1.78885438199983,1.36257783450257,0.00550625,0.916290731874155,0.0526315789473684,-0.446287102628419,0.0581378289473684,"acute"
"p044_o","m","w","j",18.75,146.6,1,120,"rest_MR","MR",28.5,31.5,9.22,28,8.91,28,13.76,30,11.72,30,"","Acanthochromis polyacanthus",1.64036581286005,2.48700623240072,5.97017587680631,1.69793992826602,-0.114002653619282,0.0434778824013577,1.38720132408304,0.411522633744856,1.50120397770232,0.455000516146214,"acute"
"p044_o","m","w","j",18.75,146.6,1,21,"rest_MR","MR",22.5,25.5,5.06,19,4.85,19,7.13,19,7.22,19,"","Acanthochromis polyacanthus",0.828190799272728,1.35125867249761,1.65638159854546,1.35125867249761,-0.141292594499941,0.0610600897291886,1.63182741772902,0.617283950617284,1.77312001222896,0.678344040346473,"acute"
"p051_o","f","w","a",50.7,-86.05,1,14,"rest_MR","MR",10,20,19.3,5,46,6,10.7,4,35.7,5,"mg/h per 200 g fish","Oncorhynchus mykiss",8.94427190999916,5.63382640840131,3,11.1803398874989,0.868536300578255,0.0454541732663964,-0.46222445978781,0.225,-1.33076076036606,0.270454173266396,"acute"
"p051_o","f","w","a",50.7,-86.05,1,14,"rest_MR","MR",10,20,12.1,5,39.2,6,8.9,4,18.4,5,"","Oncorhynchus mykiss",1.11803398874989,0.979795897113271,0.3,1.34164078649987,1.17547129419372,0.00181165692037852,-0.131982772917233,0.225,-1.30745406711095,0.226811656920379,"acute"
"p054_o","t","w","a",9.316667,123.3,1,8,"rest_MR","MR",20,30,0.07,6,0.24,6,0.08,6,0.14,6,"ml/g-0.8/h","Rhinella marina",0.0244948974278318,0.122474487139159,0.0489897948556636,0.122474487139159,1.23214368129263,0.0638109410430839,1.6094379124341,0.2,0.377294231141468,0.263810941043084,"acute"
"p054_o","t","w","a",9.353056,123.179167,1,8,"rest_MR","MR",20,30,0.09,6,0.15,6,0.11,6,0.16,6,"ml/g-0.8/h","Occidozyga laevis",0.0489897948556636,0.0489897948556636,0.0489897948556636,0.0489897948556636,0.510825623765991,0.0671604938271605,0,0.2,-0.510825623765991,0.267160493827161,"acute"
"p054_o","f","w","a",9.316667,123.3,1,8,"rest_MR","MR",20,30,0.09,6,0.19,6,0.13,6,0.2,6,"ml/g-0.8/h","Fejervarya cancrivora",0.0489897948556636,0.0489897948556636,0.0489897948556636,0.0734846922834953,0.747214401830221,0.060463048459355,0,0.2,-0.747214401830221,0.260463048459355,"acute"
"p054_o","f","w","a",9.316667,123.3,1,8,"rest_MR","MR",20,30,0.07,6,0.14,6,0.08,6,0.2,6,"ml/g-0.8/h","Hylarana erythraea",0.0489897948556636,0.0244948974278318,0.0489897948556636,0.0489897948556636,0.693147180559945,0.086734693877551,-0.693147180559945,0.2,-1.38629436111989,0.286734693877551,"acute"
"p054_o","f","w","a",9.3167,123.3,1,8,"rest_MR","MR",20,30,0.1,6,0.18,6,0.08,6,0.17,6,"ml/g-0.8/h","Limnonectes magnus",0.0489897948556636,0.0489897948556636,0.0489897948556636,0.0489897948556636,0.587786664902119,0.0523456790123457,0,0.2,-0.587786664902119,0.252345679012346,"acute"
"p054_o","t","c","a",45.5,-122.9,1,7,"rest_MR","MR",5,20,12.8,9,59.9,9,11.1,9,44.8,9,"ul/g/h","Taricha granulosa",7.5,7.8,2.1,3.6,1.02882088946389,0.0177915668339029,0.0261471421021876,0.0555555555555556,-1.0026737473617,0.0733471223894584,"acute"
"p054_o","t","w","a",9.566667,-83.75,1,20,"rest_MR","MR",5,10,0.72,6,1.1,7,0.85,7,1.2,7,"umol/h","Bolitoglossa subpalmata",0.367423461417477,0.396862696659689,0.396862696659689,2.64575131106459,0.847628493552722,0.247991276400367,0.154150679827258,0.733333333333333,-0.693477813725463,0.981324609733701,"acute"
"p054_o","t","w","a",9.566667,-83.75,1,20,"rest_MR","MR",5,15,0.72,6,2.1,7,0.8,7,2.4,6,"umol/h","Bolitoglossa subpalmata",0.367423461417477,0.396862696659689,0.396862696659689,0.367423461417477,1.07044141170141,0.0485048185941043,0.0770753399136292,0.183333333333333,-0.993366071787784,0.231838151927438,"acute"
"p054_o","t","w","a",9.566667,-83.75,1,20,"rest_MR","MR",5,20,0.72,6,3.2,7,0.8,7,3.2,7,"umol/h","Bolitoglossa subpalmata",0.367423461417477,0.396862696659689,0.396862696659689,0.396862696659689,0.994436584518478,0.0202666859567901,0.0513835599424195,0.0814814814814815,-0.943053024576058,0.101748167438272,"acute"
"p054_o","t","w","a",9.566667,-83.75,1,20,"rest_MR","MR",10,15,1.2,7,2.2,6,1.6,7,2.4,6,"umol/h","Bolitoglossa subpalmata",2.64575131106459,0.367423461417477,0.396862696659689,0.367423461417477,1.21227160714063,2.79637281910009,-3.94839064959902,0.733333333333333,-5.16066225673965,3.52970615243343,"acute"
"p054_o","t","w","a",9.566667,-83.75,1,20,"rest_MR","MR",10,20,1.2,7,3.5,5,1.2,7,3.2,7,"umol/h","Bolitoglossa subpalmata",2.64575131106459,0.335410196624968,0.396862696659689,0.396862696659689,1.07044141170141,0.696281179138322,-2.06535610319649,0.208333333333333,-3.1357975148979,0.904614512471655,"acute"
"p054_o","t","w","a",9.566667,-83.75,1,20,"rest_MR","MR",15,20,2.4,6,2.9,7,2.4,4,3.2,7,"umol/h","Bolitoglossa subpalmata",0.367423461417477,0.396862696659689,0.3,0.396862696659689,0.378483999277057,0.0263265457788347,0.154150679827258,0.733333333333333,-0.224333319449798,0.759659879112168,"acute"
"p055_o","f","w","a",27.45,153.65,1,42,"sprint","swim",15,25,20.5,40,28,40,21,40,26,40,"","Melanotaenia duboulayi",4.42718872423573,3.79473319220206,3.16227766016838,7.58946638440411,0.311779624030842,0.0016251563088055,-0.154150679827258,0.0256410256410256,-0.4659303038581,0.0272661819498311,"acute"
"p055_o","f","w","a",27.45,153.65,1,42,"sprint","swim",15,25,22,40,32,40,17.5,40,23,40,"","Paratya australiensis",6.32455532033676,6.32455532033676,3.16227766016838,4.42718872423573,0.374693449441411,0.00304267820247934,0,0.0256410256410256,-0.374693449441411,0.028683703843505,"acute"
"p055_o","f","w","a",27.45,153.65,1,42,"sprint","swim",15,25,50,80,63,80,52,80,62,80,"cm/s","Enithares ciliata",17.8885438199983,26.8328157299975,17.8885438199983,8.94427190999916,0.231111720963387,0.00386757369614513,0.405465108108164,0.0126582278481013,0.174353387144778,0.0165258015442464,"acute"
"p056_o","f","w","a",33.216389,-97.129167,1,21,"rest_MR","MR",10,15,18.9,40,24.8,36,18.9,40,39.5,36,"ul/g/h","Bufo woodhousii",6.32455532033676,17.4,11.3841995766062,39,0.54336346221068,0.0658935243483278,2.02406095832703,0.108424908424908,1.48069749611635,0.174318432773236,"acute"
"p056_o","f","w","a",33.216389,-97.129167,1,21,"rest_MR","MR",10,20,18.9,40,60.6,40,22.5,40,68.1,40,"ul/g/h","Bufo woodhousii",6.32455532033676,27.8280434094817,9.48683298050514,49.3315314986267,1.16513297100967,0.00807128800908849,1.48160454092422,0.0256410256410256,0.316471569914544,0.0337123136501141,"acute"
"p056_o","f","w","a",33.216389,-97.129167,1,21,"rest_MR","MR",10,25,18.9,40,130.8,36,15.4,36,39.7,40,"ul/g/h","Bufo woodhousii",6.32455532033676,58.8,5.4,11.3841995766062,1.28967167797167,0.0037391162906828,1.48646808523174,0.012047212047212,0.196796407260074,0.0157863283378948,"acute"
"p056_o","f","w","a",33.216389,-97.129167,1,21,"rest_MR","MR",15,20,39.5,6,64.6,36,43,40,68.1,40,"ul/g/h","Bufo woodhousii",15.9216833280907,25.8,26.5631323454144,49.3315314986267,0.98382747776296,0.126038755822378,0.965385160823906,0.457142857142857,-0.0184423169390541,0.583181612965236,"acute"
"p057_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",5,10,16.19,41,21.88,21,25.57,38,29.39,25,"ul/g/h","Desmognathus ochrophaeus",8.58018647816002,5.95734840344259,12.328828005938,9,0.602358419728473,0.0415221625493819,-0.729660327971543,0.15,-1.33201874770002,0.191522162549382,"acute"
"p057_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",5,15,16.19,41,44.49,44,23.98,45,35.96,43,"ul/g/h","Desmognathus ochrophaeus",8.58018647816002,7.95989949685296,8.04984471899924,9.1804139340228,1.01087067712841,0.0075779073431235,-0.0750392735618889,0.0241279069767442,-1.0859099506903,0.0317058143198677,"acute"
"p057_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",5,20,16.19,41,68.1,31,20.38,39,55.44,36,"ul/g/h","Desmognathus ochrophaeus",8.58018647816002,6.12454079911302,8.11849739791792,12,0.957722296977282,0.00316058211194868,-0.224767910178717,0.012962962962963,-1.182490207156,0.0161235450749116,"acute"
"p057_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",10,20,29.39,25,72.71,38,20.2,32,55.44,36,"ul/g/h","Desmognathus ochrophaeus",9,9.24662100445346,6.22253967444162,12,0.905824446231139,0.00417658216783917,0.027033610635138,0.0343468468468468,-0.878790835596001,0.038523429014686,"acute"
"p057_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",15,20,35.96,43,61.24,33,29.03,40,55.44,36,"ul/g/h","Desmognathus ochrophaeus",9.1804139340228,6.89347517584563,5.05964425626941,12,1.06478672237213,0.00759870995859967,-0.572993913881598,0.110119047619048,-1.63778063625373,0.117717757577647,"acute"
"p058_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",5,10,16.91,28,22.49,28,24.59,43,31.42,33,"ul/g/h","Desmognathus fuscus",7.24935859231698,4.76235235991626,8.72139323732166,8.61684396980704,0.570331206121471,0.0326608068110841,-0.84034251099572,0.148148148148148,-1.41067371711719,0.180808954959232,"acute"
"p058_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",5,15,16.91,28,33.83,27,24.66,43,34.38,29,"ul/g/h","Desmognathus fuscus",7.24935859231698,8.36580540055768,7.73777745867636,7.00071424927486,0.693442819882128,0.00882867188105923,0.1432396170709,0.0377492877492877,-0.550203202811228,0.046577959630347,"acute"
"p058_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",5,20,16.91,28,57.31,25,20.79,28,50.71,29,"ul/g/h","Desmognathus fuscus",7.24935859231698,6.5,5.8206528843421,9.85485159705614,0.813713310435438,0.00314592289946924,-0.0727405453506961,0.0174897119341564,-0.886453855786134,0.0206356348336256,"acute"
"p058_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",10,20,31.42,33,69.2,21,22.39,23,50.71,29,"ul/g/h","Desmognathus fuscus",8.61684396980704,7.33212111192934,5.27541467564399,9.85485159705614,0.789556229796149,0.00281373410721187,-0.161454040733957,0.040625,-0.951010270530106,0.0434387341072119,"acute"
"p058_o","t","w","a",40.5,-82.5,1,21,"rest_MR","MR",15,20,34.38,29,60.57,23,22.39,23,50.71,29,"ul/g/h","Desmognathus fuscus",7.00071424927486,12.9487451129443,7.19374728496908,9.85485159705614,1.13264944207631,0.013667461239339,1.22997340302826,0.162337662337662,0.0973239609519553,0.176005123577001,"acute"
"p059_o","f","c","a",53.6,-0.5,1,30,"ATPase","Ca ATPase",8,20,93,5,206,5,58,5,161,5,"nmol p/mg/min","Cyprinus carpio",17.8885438199983,60.3738353924943,11.1803398874989,24.5967477524977,0.662730563030271,0.0170684096049827,1.01366277027041,0.173611111111111,0.35093220724014,0.190679520716094,"acute"
"p060_o","m","w","a",77.85,166.65,1,30,"cardiac","cardiac output",-1,4,22.5,8,37,8,31,8,24.5,8,"mml/min kg","Pagothenia borchgrevinki",8.48528137423857,16.9705627484771,8.48528137423857,5.65685424949238,0.9948052068677,0.176297378459541,1.38629436111989,0.571428571428571,0.391489154252191,0.747725949888112,"acute"
"p060_o","m","w","a",77.85,166.65,1,30,"cardiac","cardiac output",-1,4,60,8,60.5,8,43,8,53,8,"mml/min kg","Pagothenia borchgrevinki",28.2842712474619,22.6274169979695,14.142135623731,19.7989898732233,0.0165976056293901,0.181051688940494,-0.446287102628419,0.571428571428571,-0.46288470825781,0.752480260369066,"acute"
"p060_o","m","w","a",77.85,166.65,1,30,"cardiac","HR",-1,4,19,8,34,8,20.5,8,20.5,8,"","Pagothenia borchgrevinki",2.82842712474619,5.65685424949238,4.24264068711929,11.3137084989848,1.16384309089944,0.0249211628597993,1.38629436111989,0.571428571428571,0.222451270220449,0.596349734288371,"acute"
"p060_o","m","w","a",77.85,166.65,1,30,"cardiac","HR",-1,4,28,8,36,8,29,8,41.5,8,"","Pagothenia borchgrevinki",2.82842712474619,2.82842712474619,2.82842712474619,5.65685424949238,0.502628856561812,0.00818846056941295,0,0.571428571428571,-0.502628856561812,0.579617031997984,"acute"
"p062_o","f","w","j",40.4,-3.683333,1,30,"rest_MR","MR",10,29,0.1,5,0.23,5,0.09,4,0.23,4,"ul/mg/min","Discoglossus pictus",0.0223606797749979,0.0447213595499958,0.02,0.04,0.438373222597423,0.00486466389832905,0.364814305557866,0.0692520775623269,-0.0735589170395572,0.0741167414606559,"acute"
"p063_o","f","c","j",12.45,130.86,1,33,"metabolic_enzyme","COX",20,29,4.2,8,4.8,8,4.8,9,6.2,9,"","Crocodylus porosus",1.4142135623731,1.69705627484771,2.4,3.6,0.148368214027247,0.0367868340751939,0.202579507548838,0.17636684303351,0.0542112935215912,0.213153677108704,"acute"
"p063_o","f","c","j",12.45,130.86,1,33,"metabolic_enzyme","COX",20,29,14.7,8,7.5,8,8.3,9,9.8,9,"","Crocodylus porosus",3.11126983722081,2.54558441227157,3.6,3.6,-0.747716081380473,0.0246907638506818,-0.22296743940239,0.17636684303351,0.524748641978083,0.201057606884192,"acute"
"p063_o","f","c","j",12.45,130.86,1,33,"metabolic_enzyme","COX",20,29,7.5,8,6.9,8,8.1,9,10.7,9,"","Crocodylus porosus",2.82842712474619,3.67695526217005,2.1,3.6,-0.0926462321545011,0.0657710150113707,0.291515849408323,0.17636684303351,0.384162081562825,0.24213785804488,"acute"
